FID,X,Y
0,113.9977715,22.47156998
1,114.0032214,22.46825365
2,113.9998271,22.46881128
3,114.0405219,22.46746544
4,114.0462872,22.47299255
5,114.048859,22.4708195
6,114.0497723,22.47198112
7,114.0499248,22.47253882
8,114.0500754,22.47227916
9,114.0499095,22.47118249
10,114.0505643,22.4730277
11,114.0532549,22.47183857
12,114.0553248,22.47075988
13,114.0543819,22.47049865
14,113.9942668,22.46451386
15,113.9967888,22.46654011
16,114.0518072,22.46794581
17,114.0485546,22.46957991
18,114.0471895,22.46729032
19,114.0547964,22.46905962
20,114.0551248,22.46999635
21,114.0552325,22.46904886
22,114.0533473,22.46306279
23,114.0011607,22.46498471
24,113.9973604,22.46401359
25,114.0040637,22.46304047
26,114.0076886,22.46471696
27,114.0046901,22.46513446
28,114.0174984,22.46480556
29,114.0440079,22.46510634
30,113.9951661,22.46185298
31,113.9959294,22.45408444
32,113.9972258,22.46018092
33,113.9992719,22.46194927
34,114.0019786,22.46135117
35,114.0027382,22.46212631
36,114.0061506,22.46216916
37,114.0044124,22.46094569
38,114.0086034,22.45933199
39,114.0161535,22.46158381
40,114.0210437,22.46375163
41,114.0234637,22.462232
42,114.0244237,22.46157907
43,114.0244902,22.46299776
44,114.0219821,22.4609352
45,114.0259979,22.46249556
46,114.025914,22.46110641
47,114.0274526,22.46075229
48,114.0269165,22.46509779
49,114.0471885,22.45862657
50,114.0003774,22.45528579
51,113.9997128,22.45950019
52,114.0020528,22.45928684
53,114.0017585,22.4606176
54,114.0028203,22.45988215
55,114.0054983,22.45737521
56,114.0037621,22.45871141
57,114.0238591,22.45634518
58,114.0238574,22.460035
59,114.0312594,22.4584935
60,114.0293576,22.45774836
61,114.0288271,22.46061134
62,113.9944324,22.44960909
63,114.0059313,22.45523954
64,114.007108,22.45492735
65,114.0074004,22.45664004
66,114.008947,22.4541505
67,114.0286168,22.45328701
68,114.0375859,22.46683774
69,114.0526174,22.45877376
70,114.0021699,22.45107387
71,114.0064173,22.45250501
72,114.0046566,22.45372431
73,114.0250837,22.45160592
74,114.0228249,22.45121345
75,114.0498867,22.45422279
76,114.0058726,22.44874916
77,114.0115486,22.4479248
78,114.0081251,22.45152371
79,114.0055607,22.44956238
80,114.0255871,22.44934293
81,114.0487402,22.45243184
82,114.0496608,22.45186637
83,114.0485438,22.45057076
84,114.0483336,22.45068698
85,114.050252,22.45036481
86,113.9990767,22.44297049
87,113.9986534,22.44671567
88,113.996222,22.44286283
89,114.0019746,22.44642695
90,114.0076622,22.44381842
91,114.0042547,22.44708928
92,114.0184779,22.44825368
93,114.0230016,22.44765692
94,114.0197208,22.44621529
95,114.0213628,22.44721788
96,114.0213763,22.44619998
97,114.0222509,22.44670871
98,114.0214787,22.44845203
99,114.0247991,22.44773308
100,114.0248122,22.447146
101,114.0274333,22.44678242
102,114.0264374,22.44765433
103,114.0282993,22.4474273
104,114.0304865,22.44673634
105,114.0298357,22.44669107
106,114.0289436,22.44676826
107,114.0298195,22.44730374
108,114.0480003,22.44771976
109,114.0455616,22.44884737
110,114.0409947,22.44779122
111,114.049108,22.44688768
112,114.0493923,22.44697982
113,114.0495636,22.44757647
114,114.0496833,22.44797362
115,114.0540757,22.44426529
116,114.0497796,22.44833716
117,114.049165,22.44915182
118,114.0499891,22.44915543
119,114.0486745,22.44794141
120,114.0484217,22.44901732
121,114.0548293,22.44485263
122,114.0189573,22.44497002
123,114.0167157,22.44259856
124,114.0168469,22.44407435
125,114.0180576,22.44412472
126,114.0174726,22.4449375
127,114.0166513,22.44457151
128,114.0164144,22.44598361
129,114.0139038,22.4433772
130,114.0206618,22.44454707
131,114.0247179,22.44451023
132,114.0243788,22.4436893
133,114.022268,22.44517255
134,114.0233893,22.44453894
135,114.0222043,22.44374666
